produkt_id,produkt,wariant_id,pozycja,szerokosc_od_mm,szerokosc_do_mm,wysokosc_od_mm,wysokosc_do_mm,minimalna_glebokosc_mm,wykonczenie,cena_brutto_pln,zrodlo_selly
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,670,24,411,495,1241,1400,300,Biały RAL 9010,1173,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,671,25,411,495,1401,1600,300,Aluminium decor,1230,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,672,26,411,495,1401,1600,300,Biały RAL 9010,1230,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,673,27,411,495,1601,1800,300,Aluminium decor,1246,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,674,28,411,495,1601,1800,300,Biały RAL 9010,1246,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,675,29,411,495,1801,2000,300,Aluminium decor,1292,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,676,30,411,495,1801,2000,300,Biały RAL 9010,1292,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,677,31,411,495,350,625,300,Aluminium decor,952,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,678,32,411,495,350,625,300,Biały RAL 9010,952,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,687,33,496,620,626,830,300,Aluminium decor,1099,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
